"lga_id","total_facilities","total_hospitals","total_phcentres","total_phclinics","total_phclinics.1","total_sec_tertiary","improved_water_supply","improved_sanitation","power_sources_grid","any_power_available","emerg_tran","sba","delivery_services_yn","c_section_yn","antenatal_care_yn","family_planning_yn","child_health_measles_immun","vaccines_fridge_freezer","medication_anti_malarials","phcentre","phclinic","dispensary","lga","state","zone","pop_2006"
92,66,3,7,18,37,1,16,7,3,8,30,11,47,4,50,36,0,0,15,0,4,46,"Baruten","Kwara","North-Central",209459
93,20,0,4,14,2,0,3,4,0,1,12,1,16,0,16,7,0,0,0,0,0,14,"Bassa","Kogi","North-Central",139993
94,49,3,30,7,7,2,11,14,12,14,8,6,29,5,26,36,0,2,16,0,0,45,"Bassa","Plateau","North-Central",186859
95,53,0,2,21,29,1,12,46,8,16,14,3,5,0,20,10,0,0,7,0,1,40,"Batagarawa","Katsina","Northwest",184575
96,78,0,11,20,45,2,21,17,5,10,12,1,12,2,18,11,0,0,14,0,1,62,"Batsari","Katsina","Northwest",208978
97,70,5,16,17,16,16,37,49,47,54,18,39,53,9,50,54,0,3,37,6,22,66,"Bauchi","Bauchi","Northeast",493810
98,42,1,9,11,20,1,21,16,10,13,6,1,10,3,14,16,0,0,8,0,0,33,"Baure","Katsina","Northwest",197425
99,21,1,6,2,11,1,11,8,2,8,2,2,15,1,13,8,0,0,4,0,0,19,"Bayo","Borno","Northeast",78978
100,19,2,1,2,14,0,4,4,12,14,5,4,5,2,5,11,0,1,6,1,1,15,"Bebeji","Kano","Northwest",188859
101,59,2,11,6,36,4,16,16,12,27,8,2,51,3,56,19,0,0,40,2,1,55,"Bekwara","Cross River","South-South",105822
102,49,1,34,6,5,3,7,34,23,32,7,4,47,1,47,36,0,1,21,0,0,38,"Bende","Abia","Southeast",192111
103,44,3,16,10,14,1,18,12,18,28,11,7,35,2,33,31,0,1,18,0,1,38,"Biase","Cross River","South-South",169183
104,42,1,5,4,32,0,14,14,8,12,3,2,6,1,19,8,0,0,33,0,1,25,"Bichi","Kano","Northwest",277099
105,35,4,10,5,11,5,17,15,18,19,10,11,25,7,32,22,0,0,18,0,1,28,"Bida","Niger","North-Central",188181
106,37,1,7,8,14,7,11,9,5,7,3,5,15,3,14,20,0,1,18,0,1,35,"Billiri","Gombe","Northeast",202144
107,37,0,4,7,25,1,8,5,7,10,7,1,5,0,13,4,0,0,8,0,1,29,"Bindawa","Katsina","Northwest",152356
108,24,1,3,4,16,0,14,12,3,11,1,2,0,0,11,8,9,5,0,0,0,19,"Binji","Sokoto","Northwest",105027
109,27,1,2,12,12,0,15,8,4,7,4,5,5,3,9,11,0,0,12,1,1,25,"Biriniwa","Jigawa","Northwest",142329
110,53,1,13,31,7,1,22,24,19,19,1,3,0,0,32,22,38,10,0,1,0,35,"Birnin Gwari","Kaduna","Northwest",252363
111,28,1,7,7,13,0,14,14,14,19,6,5,12,1,16,14,0,0,8,1,1,21,"Birnin-Kebbi","Kebbi","Northwest",268420
112,6,1,1,1,3,0,3,3,1,1,4,3,2,1,5,3,0,0,3,1,1,5,"Birnin-Kudu","Jigawa","Northwest",313373
113,39,1,3,4,31,0,14,13,3,3,0,2,14,1,11,15,0,0,1,0,0,33,"Birnin-Magaji","Zamfara","Northwest",178619
114,14,2,4,3,3,2,2,10,7,7,6,5,11,3,9,9,0,0,4,0,2,11,"Biu","Borno","Northeast",176072
115,20,1,3,0,16,0,7,14,4,7,1,4,5,1,9,14,0,0,3,0,1,17,"Bodinga","Sokoto","Northwest",175406
116,19,1,8,7,2,1,10,5,2,2,6,2,14,3,15,17,0,0,4,0,2,16,"Bogoro","Bauchi","Northeast",84215
117,53,1,36,2,12,2,23,20,5,15,0,5,0,0,41,27,14,9,0,1,1,32,"Boki","Cross River","South-South",186141
118,24,1,7,0,6,10,7,7,8,9,7,5,17,0,20,13,0,1,11,0,0,20,"Boluwaduro","Osun","Southwest",70775
119,15,1,8,1,1,4,9,7,5,7,6,8,13,4,12,8,0,0,6,0,0,9,"Bomadi","Delta","South-South",86644
120,9,2,6,0,0,1,4,5,5,5,2,4,7,3,6,8,0,1,5,0,0,8,"Bonny","Rivers","South-South",215358
121,49,3,28,13,3,2,17,10,8,18,7,13,42,9,42,38,0,1,11,2,4,44,"Borgu","Niger","North-Central",171965
122,30,0,0,5,13,12,4,10,7,7,3,10,21,1,26,20,0,2,2,0,2,21,"Boripe","Osun","Southwest",139358
123,31,1,6,3,19,2,12,13,3,5,3,0,11,0,10,10,0,1,11,0,0,18,"Bosari","Yobe","Northeast",109124
124,56,0,21,24,7,4,23,21,22,23,16,5,40,2,47,40,0,1,9,1,2,47,"Bosso","Niger","North-Central",147359
125,15,2,6,0,5,2,9,11,0,7,0,4,0,0,9,7,6,5,0,0,1,4,"Brass","Bayelsa","South-South",185049
126,10,0,1,1,8,0,7,3,0,1,2,0,5,0,4,2,0,0,7,0,0,7,"Buji","Jigawa","Northwest",97371
127,39,1,6,3,29,0,17,10,4,5,0,1,0,0,22,16,28,11,0,0,0,36,"Bukkuyum","Zamfara","Northwest",211633
128,76,1,29,28,16,2,11,15,7,16,18,8,69,3,65,35,0,0,15,0,1,67,"Buruku","Benue","North-Central",203721
129,49,1,7,16,25,0,19,20,11,16,7,3,25,1,33,34,0,1,5,1,2,42,"Bungudu","Zamfara","Northwest",257917
130,19,0,0,2,16,1,9,9,9,10,4,1,1,1,9,4,0,0,5,0,0,14,"Bunkure","Kano","Northwest",170891
